epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,800.609,0.42957,1.50291,0.94169,0.40983,0.82702,0.64906,0.60349,0.30804,1.32786,0.81826,0.000368353,0.000368353,0.000368353
2,1615.45,0.4309,0.93207,0.92714,0.5033,0.73256,0.54682,0.49596,0.32552,1.03801,0.81591,0.000731373,0.000731373,0.000731373
3,2421.31,0.4264,0.77006,0.92077,0.63329,0.71668,0.72778,0.67152,0.31911,0.67588,0.81112,0.00108706,0.00108706,0.00108706
4,3218.34,0.42425,0.66951,0.92016,0.70645,0.65376,0.65903,0.60051,0.32561,0.55356,0.81973,0.001078,0.001078,0.001078
5,4025.55,0.40809,0.59532,0.91168,0.6306,0.75381,0.76802,0.68914,0.348,0.60033,0.81912,0.001067,0.001067,0.001067
6,4837.87,0.39288,0.53984,0.90038,0.60592,0.85628,0.77574,0.71186,0.27217,0.45596,0.77969,0.00105601,0.00105601,0.00105601
7,5636.13,0.37021,0.51618,0.89666,0.73251,0.74446,0.77997,0.72231,0.27268,0.42661,0.79988,0.00104501,0.00104501,0.00104501
8,6423.47,0.36472,0.47669,0.89613,0.727,0.81985,0.82201,0.75478,0.27323,0.39838,0.78766,0.00103401,0.00103401,0.00103401
9,7209.61,0.36494,0.4688,0.89672,0.8618,0.80986,0.89343,0.82326,0.26843,0.33287,0.78485,0.00102301,0.00102301,0.00102301
10,7993.82,0.3615,0.45777,0.89162,0.72863,0.77867,0.84924,0.78111,0.28739,0.37467,0.79525,0.00101201,0.00101201,0.00101201
11,8777.31,0.35482,0.42547,0.89259,0.89381,0.80414,0.92129,0.83151,0.27924,0.3298,0.8032,0.00100101,0.00100101,0.00100101
12,9561.19,0.34986,0.41976,0.88869,0.77013,0.86564,0.85911,0.79455,0.2662,0.34104,0.78108,0.000990012,0.000990012,0.000990012
13,10346.5,0.35219,0.41591,0.88403,0.80345,0.81018,0.88159,0.79985,0.2569,0.34998,0.77609,0.000979013,0.000979013,0.000979013
14,11131.8,0.35168,0.42367,0.88756,0.80058,0.84444,0.89538,0.82637,0.26329,0.30889,0.78551,0.000968014,0.000968014,0.000968014
15,11919.8,0.34107,0.37778,0.8854,0.89927,0.83932,0.93347,0.8626,0.25798,0.28627,0.77907,0.000957015,0.000957015,0.000957015
16,12707.1,0.33579,0.36359,0.88069,0.79798,0.87024,0.88305,0.81548,0.24968,0.31982,0.77638,0.000946016,0.000946016,0.000946016
17,13495,0.33729,0.36224,0.88348,0.89777,0.83875,0.93926,0.8703,0.27227,0.26372,0.782,0.000935018,0.000935018,0.000935018
18,14282.8,0.33696,0.3473,0.87945,0.89617,0.81258,0.91987,0.84815,0.26594,0.28426,0.77651,0.000924019,0.000924019,0.000924019
19,15070.8,0.32779,0.3545,0.87837,0.89223,0.82228,0.93668,0.86208,0.27265,0.28645,0.77847,0.00091302,0.00091302,0.00091302
20,15858.7,0.33672,0.34885,0.88118,0.86401,0.88584,0.92906,0.86106,0.25642,0.25079,0.77253,0.000902021,0.000902021,0.000902021
21,16646.3,0.31278,0.33412,0.8766,0.9013,0.83013,0.94438,0.87761,0.24053,0.25514,0.76804,0.000891022,0.000891022,0.000891022
22,17435.5,0.3251,0.33222,0.87824,0.87685,0.82782,0.8938,0.83063,0.25715,0.25872,0.77665,0.000880023,0.000880023,0.000880023
23,18223.6,0.31628,0.30804,0.87694,0.8286,0.91033,0.92388,0.85857,0.24781,0.25035,0.76846,0.000869024,0.000869024,0.000869024
24,19011.2,0.32262,0.32269,0.87964,0.79965,0.89017,0.90799,0.83561,0.26131,0.27955,0.77859,0.000858025,0.000858025,0.000858025
25,19800.5,0.31246,0.31336,0.87232,0.81127,0.86954,0.93539,0.86774,0.23763,0.25474,0.76667,0.000847026,0.000847026,0.000847026
26,20588.5,0.32676,0.31734,0.88002,0.85397,0.91635,0.94392,0.87302,0.24088,0.24723,0.76976,0.000836027,0.000836027,0.000836027
27,21377.5,0.31619,0.31389,0.87593,0.90641,0.89447,0.95483,0.89261,0.23766,0.22847,0.76365,0.000825029,0.000825029,0.000825029
28,22166.1,0.31447,0.32195,0.87552,0.90392,0.84617,0.93279,0.87036,0.2446,0.23658,0.76886,0.00081403,0.00081403,0.00081403
29,22954.9,0.30675,0.30912,0.87651,0.8587,0.88979,0.92304,0.85942,0.24427,0.25209,0.77106,0.000803031,0.000803031,0.000803031
30,23744.1,0.30463,0.29323,0.87254,0.88932,0.86352,0.90933,0.84287,0.22783,0.24655,0.76623,0.000792032,0.000792032,0.000792032
31,24533.4,0.30878,0.27963,0.87361,0.87307,0.92154,0.95465,0.89304,0.23754,0.22279,0.76866,0.000781033,0.000781033,0.000781033
32,25323.1,0.3097,0.29681,0.87216,0.87715,0.90947,0.95958,0.89171,0.24165,0.23297,0.77157,0.000770034,0.000770034,0.000770034
33,26111.6,0.3009,0.28141,0.87491,0.93542,0.86123,0.95244,0.89294,0.23606,0.21863,0.77069,0.000759035,0.000759035,0.000759035
34,26900.3,0.31247,0.2767,0.8739,0.8757,0.90847,0.9563,0.90133,0.23238,0.22513,0.76613,0.000748036,0.000748036,0.000748036
35,27688.4,0.29415,0.26822,0.8709,0.83474,0.93534,0.95633,0.90331,0.23921,0.2466,0.7709,0.000737037,0.000737037,0.000737037
36,28479.5,0.29023,0.28057,0.87103,0.88127,0.93012,0.96155,0.90533,0.22175,0.20248,0.76602,0.000726038,0.000726038,0.000726038
37,29270.5,0.29389,0.27423,0.87306,0.84612,0.91953,0.91402,0.85771,0.22558,0.22782,0.76498,0.00071504,0.00071504,0.00071504
38,30060.5,0.29884,0.27157,0.86764,0.87891,0.92801,0.95973,0.904,0.22844,0.21935,0.76317,0.000704041,0.000704041,0.000704041
39,30849.9,0.29494,0.26274,0.87147,0.93839,0.86592,0.96205,0.89723,0.2276,0.20504,0.76866,0.000693042,0.000693042,0.000693042
40,31639.2,0.29411,0.25929,0.86785,0.88973,0.89919,0.95396,0.89927,0.224,0.1989,0.76397,0.000682043,0.000682043,0.000682043
41,32428.2,0.29,0.24658,0.8677,0.9489,0.88855,0.96028,0.90414,0.22584,0.20067,0.76313,0.000671044,0.000671044,0.000671044
42,33217.1,0.28313,0.26984,0.86629,0.86495,0.92202,0.93445,0.88299,0.21992,0.21917,0.76138,0.000660045,0.000660045,0.000660045
43,34008.5,0.28836,0.25817,0.8678,0.91924,0.88353,0.96173,0.90667,0.21997,0.20404,0.76001,0.000649046,0.000649046,0.000649046
44,34798.9,0.28283,0.25016,0.86675,0.90864,0.89288,0.94937,0.8886,0.22479,0.20841,0.76618,0.000638047,0.000638047,0.000638047
45,35589.6,0.2906,0.25077,0.86554,0.9175,0.88245,0.95007,0.89629,0.21926,0.20513,0.76039,0.000627048,0.000627048,0.000627048
46,36378.7,0.28621,0.2481,0.86987,0.87106,0.92091,0.94743,0.89207,0.22172,0.20439,0.76206,0.000616049,0.000616049,0.000616049
47,37167,0.27819,0.25011,0.86918,0.87721,0.91791,0.90568,0.84534,0.22244,0.20941,0.76104,0.000605051,0.000605051,0.000605051
48,37956.1,0.2829,0.24797,0.86773,0.86981,0.9342,0.92988,0.87639,0.21571,0.20367,0.76078,0.000594052,0.000594052,0.000594052
49,38744.4,0.27183,0.24045,0.86428,0.87156,0.93343,0.91677,0.85998,0.21804,0.19482,0.76039,0.000583053,0.000583053,0.000583053
50,39536.6,0.27971,0.24036,0.86718,0.88659,0.88876,0.95433,0.89374,0.22909,0.21334,0.76624,0.000572054,0.000572054,0.000572054
51,40326.6,0.27469,0.23955,0.86489,0.90659,0.90084,0.96528,0.90842,0.21592,0.18824,0.75997,0.000561055,0.000561055,0.000561055
52,41116.3,0.27381,0.23378,0.8626,0.88947,0.90344,0.90649,0.85626,0.22163,0.20715,0.75914,0.000550056,0.000550056,0.000550056
53,41906,0.28083,0.24199,0.86364,0.90553,0.87772,0.93639,0.88534,0.22169,0.2041,0.76149,0.000539057,0.000539057,0.000539057
54,42695.1,0.27527,0.23076,0.86381,0.91371,0.92382,0.97025,0.91869,0.20957,0.19062,0.75801,0.000528058,0.000528058,0.000528058
55,43483.9,0.27158,0.22272,0.86294,0.93448,0.88168,0.96826,0.9157,0.20912,0.18076,0.75827,0.000517059,0.000517059,0.000517059
56,44273.9,0.27014,0.22811,0.86204,0.90556,0.91249,0.95569,0.90326,0.21151,0.1965,0.75905,0.00050606,0.00050606,0.00050606
57,45062.8,0.25934,0.22303,0.86201,0.86898,0.9455,0.96822,0.91103,0.21305,0.18705,0.75841,0.000495062,0.000495062,0.000495062
58,45854.5,0.26595,0.22074,0.85987,0.94428,0.8996,0.97098,0.91255,0.21424,0.18753,0.75915,0.000484063,0.000484063,0.000484063
59,46644.8,0.26797,0.21978,0.86322,0.90051,0.94577,0.97272,0.919,0.21295,0.17792,0.75696,0.000473064,0.000473064,0.000473064
60,47434,0.26119,0.2123,0.8599,0.92847,0.87903,0.95236,0.89839,0.21475,0.18535,0.7579,0.000462065,0.000462065,0.000462065
61,48223.2,0.26971,0.22113,0.86405,0.93394,0.88718,0.9715,0.91752,0.21398,0.19436,0.75715,0.000451066,0.000451066,0.000451066
62,49011.8,0.25861,0.21306,0.86028,0.8998,0.90423,0.96585,0.91521,0.21597,0.18932,0.75741,0.000440067,0.000440067,0.000440067
63,49801,0.26466,0.20975,0.86263,0.89638,0.91124,0.9692,0.91779,0.2097,0.18372,0.75733,0.000429068,0.000429068,0.000429068
64,50589.5,0.26072,0.20868,0.8607,0.87534,0.92978,0.96182,0.90981,0.21012,0.19733,0.75808,0.000418069,0.000418069,0.000418069
65,51381.1,0.25674,0.21415,0.85941,0.87899,0.93308,0.9656,0.91275,0.20503,0.18496,0.75507,0.00040707,0.00040707,0.00040707
66,52171.6,0.25477,0.20542,0.85451,0.90848,0.88,0.95444,0.90425,0.20772,0.19014,0.7565,0.000396071,0.000396071,0.000396071
67,52962.6,0.25781,0.20015,0.8575,0.91988,0.90593,0.97164,0.92208,0.21224,0.18106,0.75725,0.000385073,0.000385073,0.000385073
68,53752,0.25741,0.20712,0.85859,0.91435,0.90245,0.94801,0.89804,0.20652,0.18339,0.75654,0.000374074,0.000374074,0.000374074
69,54542.6,0.25515,0.20261,0.85736,0.90235,0.89977,0.96652,0.91161,0.20538,0.18789,0.7536,0.000363075,0.000363075,0.000363075
